ID	LEMMA	UPOS	GENERE	WRITTEN REPRESENTATION	ID LEMMA VARIANT	TRADUZIONI	URI ITALIANO
10919	argu	NOUN	m	["argu"]	[]	["argo","argon"]	["http://liita.it/data/id/lemma/965961","http://liita.it/data/id/lemma/965960"]
10920	nvicchiari	VERB		["nvicchiari"]	[]	["invecchiare"]	["http://liita.it/data/id/lemma/1003093"]
10921	mmicchiari	VERB		["mmicchiari"]	[]	["invecchiare"]	["http://liita.it/data/id/lemma/1003093"]
10922	azzotu	NOUN	m	["azotu","azzotu"]	[]	["azoto"]	["http://liita.it/data/id/lemma/968227"]
10924	berilliu	NOUN	m	["berilliu","birilliu"]	[]	["berillio"]	["http://liita.it/data/id/lemma/969779"]
10926	bioluggìa	NOUN	f	["biulugìa","bioluggìa","biolugìa","biuluggìa"]	[]	["biologia"]	["http://liita.it/data/id/lemma/970374"]
10930	boru	NOUN	m	["boru"]	[]	["boro"]	["http://liita.it/data/id/lemma/971146"]
10931	caramela	NOUN	f	["calamela","caramela"]	[]	["caramella"]	["http://liita.it/data/id/lemma/973936","http://liita.it/data/id/lemma/973937"]
10933	carboniu	NOUN	m	["carboniu"]	[]	["carbonio"]	["http://liita.it/data/id/lemma/974008"]
10934	casta	NOUN	f	["casta"]	[]	["casta"]	["http://liita.it/data/id/lemma/974622"]
10935	cavigghia	NOUN	f	["cavigghia"]	[]	["caviglia"]	["http://liita.it/data/id/lemma/1090426"]
10937	ciucculatti	NOUN	m	["ciucculatti"]	[]	["cioccolato"]	["http://liita.it/data/id/lemma/976794"]
10938	cloru	NOUN	m	["cloru"]	[]	["cloro"]	["http://liita.it/data/id/lemma/977348"]
10939	cuniugazzioni	NOUN	f	["cugnugazioni","coniugazzioni","cugnugazzioni","cognugazzioni","coniugazioni","cognugazioni","cuniugazzioni","cuniugazioni","conjugazzioni","cunjugazioni","cunjugazzioni","conjugazioni"]	[]	["coniugazione"]	["http://liita.it/data/id/lemma/979244"]
10945	cuntrazzioni	NOUN	f	["cuntrazioni","cuntrazzioni"]	[]	["contrazione"]	["http://liita.it/data/id/lemma/1090909"]
10947	diatupìa	NOUN	f	["diatupìa"]	[]	["diatopia"]	[]
10948	edificiu	NOUN	m	["edificiu"]	[]	["edificio"]	["http://liita.it/data/id/lemma/987561"]
10949	eliu	NOUN	m	["eliu"]	[]	["elio"]	["http://liita.it/data/id/lemma/988064"]
10950	fluoru	NOUN	m	["fluoru"]	[]	["fluoro"]	["http://liita.it/data/id/lemma/992814"]
10951	garaggi	NOUN	m	["garagi","garaggi"]	[]	["autorimessa","garage"]	["http://liita.it/data/id/lemma/967812","http://liita.it/data/id/lemma/994705"]
10953	idrògginu	NOUN	m	["idròginu","idrògginu"]	[]	["idrogeno"]	["http://liita.it/data/id/lemma/997843"]
10955	ossìgginu	NOUN	m	["ossìgginu","ossìginu"]	[]	["ossigeno"]	["http://liita.it/data/id/lemma/1016599"]
10957	mammìfiru	NOUN	m	["mammìfiru"]	[]	["mammifero"]	["http://liita.it/data/id/lemma/1008325"]
10958	mituluggìa	NOUN	f	["mitulugìa","mituluggìa"]	[]	["mitologia"]	["http://liita.it/data/id/lemma/1011592"]
10960	partenogènisi	NOUN	f	["partenogènisi"]	[]	["partenogenesi"]	["http://liita.it/data/id/lemma/1018364"]
10961	règula	NOUN	f	["rèula","règula","rèvula"]	[]	["regola"]	["http://liita.it/data/id/lemma/1027522"]
10964	utènzili	NOUN	m	["utènzili","utènsili"]	[]	["utensile"]	["http://liita.it/data/id/lemma/1050340"]
10966	matriarcatu	NOUN	m	["matriarcatu"]	[]	["matriarcato"]	["http://liita.it/data/id/lemma/1009362"]
10967	patriarcatu	NOUN	m	["patriarcatu"]	[]	["patriarcato"]	["http://liita.it/data/id/lemma/1018741"]
10968	patriarca	NOUN	m	["patriarca"]	[]	["patriarca"]	["http://liita.it/data/id/lemma/1018739"]
10969	magnesiu	NOUN	m	["magnesiu"]	[]	["magnesio"]	["http://liita.it/data/id/lemma/1007824"]
10970	siliciu	NOUN	m	["siliciu"]	[]	["silicio"]	["http://liita.it/data/id/lemma/1038560"]
10971	sodiu	NOUN	m	["sodiu"]	[]	["sodio"]	["http://liita.it/data/id/lemma/1097927"]
10972	litiu	NOUN	m	["litiu"]	[]	["litio"]	["http://liita.it/data/id/lemma/1006627"]
10973	putassiu	NOUN	m	["putassiu","potassiu"]	[]	["potassio"]	["http://liita.it/data/id/lemma/1022751"]
10975	titaniu	NOUN	m	["titaniu"]	[]	["titanio"]	["http://liita.it/data/id/lemma/1047023"]
10976	zincu	NOUN	m	["zincu"]	[]	["zinco"]	["http://liita.it/data/id/lemma/1099702"]
10977	scandiu	NOUN	m	["scandiu"]	[]	["scandio"]	["http://liita.it/data/id/lemma/1034377"]
10978	stadiu	NOUN	m	["stadiu"]	[]	["stadio"]	["http://liita.it/data/id/lemma/1042453"]
